ni,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),cleaned_text,subjectivity,mapped_time
f87dea47db,Last session of the day  http://twitpic.com/67ezh,Neutral,morning,10.0,Afghanistan,38928346.0,652860.0,60.0,Last session of the day,0.06666666666666667,06-11 AM
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,Positive,noon,25.5,Albania,2877797.0,27400.0,105.0,Shanghai is also really exciting precisely  skyscrapers galore Good tweeps in China  SH  BJ,0.7333333333333334,12 PM
,,Neutral,,,,,,,,0.0,Unknown
01082688c6, happy bday!,Positive,morning,53.0,Andorra,77265.0,470.0,164.0,happy bday,1.0,06-11 AM
33987a8ee5, http://twitpic.com/4w75p - I like it!!,Neutral,noon,65.0,Angola,32866272.0,1246700.0,26.0,I like it,0.0,12 PM
726e501993, that`s great!! weee!! visitors!,Positive,night,85.0,Antigua and Barbuda,97929.0,440.0,223.0,thats great weee visitors,0.75,06-09 PM
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,Positive,morning,10.0,Argentina,45195774.0,2736690.0,17.0,I THINK EVERYONE HATES ME ON HERE   lol,0.7,06-11 AM
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",Positive,noon,25.5,Armenia,2963243.0,28470.0,104.0,soooooo wish i could but im in school and myspace is completely blocked,0.4,12 PM
,,Neutral,,,,,,,,0.0,Unknown
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,Neutral,morning,53.0,Austria,9006398.0,82400.0,109.0,What did you get  My day is alright havent done anything yet leaving soon to my stepsister though,0.0,06-11 AM
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,Neutral,noon,65.0,Azerbaijan,10139177.0,82658.0,123.0,My bike was put on holdshould have known that argh total bummer,0.75,12 PM
43b390b336, I checked.  We didn`t win,Positive,night,85.0,Bahamas,393244.0,10010.0,39.0,I checked  We didnt win,0.4,06-09 PM
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,Positive,morning,10.0,Bahrain,1701575.0,760.0,2239.0,and youre on twitter Did the tavern bore you that much,0.2,06-11 AM
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",Negative,noon,25.5,Bangladesh,164689383.0,130170.0,1265.0,Im in VA for the weekend my youngest son turns 2 tomorrowit makes me kinda sad he is getting so big check out my twipics,0.55,12 PM
,,Neutral,,,,,,,,0.0,Unknown
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",Negative,morning,53.0,Belarus,9449323.0,202910.0,47.0,So hot today _  dont like it and i hate my new timetable having such a bad week,0.6742424242424242,06-11 AM
